resume_text,jd_text,score
Resume skills: react power bi data cleaning sql java node c++,Job requires: react azure sql ml data cleaning pandas,58
Resume skills: excel java javascript pandas machine learning docker deep learning,Job requires: c++ javascript excel power bi sql java machine learning react,94
Resume skills: ml python data cleaning machine learning java power bi c++,Job requires: data analysis java azure power bi javascript,68
Resume skills: machine learning css sql docker power bi javascript html ml data analysis numpy,Job requires: javascript pandas java ml excel git,60
Resume skills: deep learning python node ml git css pandas java power bi,Job requires: azure data cleaning html deep learning numpy pandas java aws docker git,88
Resume skills: excel deep learning node pandas numpy machine learning power bi css,Job requires: data analysis python pandas node html data cleaning docker java,59
Resume skills: machine learning c++ azure data cleaning python javascript node html numpy,Job requires: azure power bi node docker html deep learning pandas,89
Resume skills: react css docker power bi machine learning aws java data analysis,Job requires: aws machine learning docker c++ numpy html css react deep learning,52
Resume skills: data analysis c++ deep learning data cleaning docker html node azure numpy excel,Job requires: deep learning power bi git css machine learning data analysis python,71
Resume skills: data cleaning machine learning ml javascript react azure git c++ docker,Job requires: css c++ html data cleaning node java deep learning excel aws,42
Resume skills: c++ git deep learning data cleaning docker azure,Job requires: java html machine learning git react pandas javascript deep learning data analysis node,61
Resume skills: python machine learning javascript sql azure power bi c++ pandas git,Job requires: git java css html javascript data analysis,85
Resume skills: data cleaning javascript python machine learning html,Job requires: excel javascript aws git react java azure python,44
Resume skills: machine learning sql azure data cleaning docker numpy power bi,Job requires: data analysis machine learning html git pandas aws ml react,50
Resume skills: ml react azure java machine learning docker,Job requires: pandas excel power bi javascript sql data cleaning python c++,33
Resume skills: power bi python git pandas sql,Job requires: html java azure javascript git aws docker pandas data cleaning,71
Resume skills: ml azure c++ data cleaning numpy excel power bi javascript aws,Job requires: deep learning python git aws javascript c++ css,34
Resume skills: aws java css deep learning machine learning azure power bi,Job requires: ml deep learning python machine learning aws azure javascript sql data cleaning docker,65
Resume skills: node azure sql data analysis deep learning java machine learning ml,Job requires: css pandas data analysis ml python numpy c++ html,80
Resume skills: data analysis sql javascript ml react git machine learning pandas html,Job requires: python data cleaning c++ data analysis git css pandas react aws,41
Resume skills: sql numpy docker css html,Job requires: pandas git sql java c++,33
Resume skills: numpy c++ java javascript machine learning azure css python,Job requires: ml power bi python css aws,85
Resume skills: git excel azure c++ javascript,Job requires: c++ git html docker pandas power bi aws data analysis python,68
Resume skills: java pandas html power bi sql numpy docker css data analysis,Job requires: deep learning data analysis data cleaning java pandas azure css c++ git numpy,47
Resume skills: pandas java machine learning data cleaning javascript azure docker,Job requires: ml excel react data cleaning pandas,94
Resume skills: numpy python pandas data analysis aws git,Job requires: excel ml machine learning javascript java node aws html,59
Resume skills: css git c++ data cleaning node,Job requires: deep learning css machine learning data cleaning react numpy c++ html javascript,52
Resume skills: c++ pandas excel sql data cleaning numpy react,Job requires: power bi aws ml excel node docker,73
Resume skills: javascript data analysis node html sql python data cleaning azure aws git,Job requires: power bi react azure node excel data analysis sql pandas html,57
Resume skills: azure react html node data analysis deep learning javascript machine learning,Job requires: excel machine learning node html pandas git,51
Resume skills: javascript node git power bi data analysis numpy docker deep learning sql,Job requires: ml deep learning javascript excel python,53
Resume skills: excel aws deep learning numpy machine learning c++ git,Job requires: html azure sql data analysis power bi,76
Resume skills: deep learning power bi css java c++ data analysis,Job requires: machine learning ml git aws css pandas azure,74
Resume skills: react node azure power bi deep learning numpy python java pandas ml,Job requires: git docker aws python deep learning react javascript node excel,53
Resume skills: sql deep learning node react ml css numpy pandas html,Job requires: azure html ml numpy pandas deep learning aws,91
Resume skills: git c++ data analysis aws azure node css deep learning ml,Job requires: html docker react css aws,60
Resume skills: git javascript deep learning html numpy python data cleaning pandas react,Job requires: excel data analysis docker node react,65
Resume skills: html css javascript machine learning data cleaning numpy aws c++,Job requires: node c++ data cleaning css deep learning ml javascript,56
